dataset,target_type,target_item,victim_model,metric,k,value,method
diginetica,popular,11103,freqrec,recall,10,0.0035985408656216107,TC-SACP-G w/o Sur.
diginetica,popular,11103,freqrec,recall,20,0.011896546058036741,TC-SACP-G w/o Sur.
diginetica,popular,11103,freqrec,recall,30,0.02778599362450294,TC-SACP-G w/o Sur.
diginetica,popular,11103,freqrec,recall,40,0.05545696539485359,TC-SACP-G w/o Sur.
diginetica,popular,11103,freqrec,recall,50,0.09916526997272339,TC-SACP-G w/o Sur.
diginetica,popular,11103,freqrec,mrr,10,0.0006680787490212719,TC-SACP-G w/o Sur.
diginetica,popular,11103,freqrec,mrr,20,0.001203592278593985,TC-SACP-G w/o Sur.
diginetica,popular,11103,freqrec,mrr,30,0.0018262416632156562,TC-SACP-G w/o Sur.
diginetica,popular,11103,freqrec,mrr,40,0.0026025974147211362,TC-SACP-G w/o Sur.
diginetica,popular,11103,freqrec,mrr,50,0.0035621622573550425,TC-SACP-G w/o Sur.
diginetica,popular,11103,mdhg,recall,10,0.0008051529790660225,TC-SACP-G w/o Sur.
diginetica,popular,11103,mdhg,recall,20,0.002037529987840547,TC-SACP-G w/o Sur.
diginetica,popular,11103,mdhg,recall,30,0.004173650136383056,TC-SACP-G w/o Sur.
diginetica,popular,11103,mdhg,recall,40,0.007328535278845838,TC-SACP-G w/o Sur.
diginetica,popular,11103,mdhg,recall,50,0.01118998323967268,TC-SACP-G w/o Sur.
diginetica,popular,11103,mdhg,mrr,10,0.00017799697135199443,TC-SACP-G w/o Sur.
diginetica,popular,11103,mdhg,mrr,20,0.00026123397411844133,TC-SACP-G w/o Sur.
diginetica,popular,11103,mdhg,mrr,30,0.00034489629369597935,TC-SACP-G w/o Sur.
diginetica,popular,11103,mdhg,mrr,40,0.0004342044410152925,TC-SACP-G w/o Sur.
diginetica,popular,11103,mdhg,mrr,50,0.0005183060276525564,TC-SACP-G w/o Sur.
diginetica,popular,11103,miasrec,recall,10,0.20999704229517893,TC-SACP-G w/o Sur.
diginetica,popular,11103,miasrec,recall,20,0.4834039896151697,TC-SACP-G w/o Sur.
diginetica,popular,11103,miasrec,recall,30,0.6634789181373032,TC-SACP-G w/o Sur.
diginetica,popular,11103,miasrec,recall,40,0.7809326629202406,TC-SACP-G w/o Sur.
diginetica,popular,11103,miasrec,recall,50,0.8599691084163134,TC-SACP-G w/o Sur.
diginetica,popular,11103,miasrec,mrr,10,0.04815453173064326,TC-SACP-G w/o Sur.
diginetica,popular,11103,miasrec,mrr,20,0.06680235931896837,TC-SACP-G w/o Sur.
diginetica,popular,11103,miasrec,mrr,30,0.0740598538300419,TC-SACP-G w/o Sur.
diginetica,popular,11103,miasrec,mrr,40,0.07742355791658735,TC-SACP-G w/o Sur.
diginetica,popular,11103,miasrec,mrr,50,0.07918336023189547,TC-SACP-G w/o Sur.
diginetica,popular,11103,srgnn,recall,10,0.15569029544184823,TC-SACP-G w/o Sur.
diginetica,popular,11103,srgnn,recall,20,0.2556114233132867,TC-SACP-G w/o Sur.
diginetica,popular,11103,srgnn,recall,30,0.33569949719018044,TC-SACP-G w/o Sur.
diginetica,popular,11103,srgnn,recall,40,0.40150842945874,TC-SACP-G w/o Sur.
diginetica,popular,11103,srgnn,recall,50,0.4549442965592034,TC-SACP-G w/o Sur.
diginetica,popular,11103,srgnn,mrr,10,0.056988855660353555,TC-SACP-G w/o Sur.
diginetica,popular,11103,srgnn,mrr,20,0.06380544502397162,TC-SACP-G w/o Sur.
diginetica,popular,11103,srgnn,mrr,30,0.06700340747947973,TC-SACP-G w/o Sur.
diginetica,popular,11103,srgnn,mrr,40,0.06887851835672999,TC-SACP-G w/o Sur.
diginetica,popular,11103,srgnn,mrr,50,0.0700621265925748,TC-SACP-G w/o Sur.
diginetica,popular,11103,tron,recall,10,0.12982680995103354,TC-SACP-G w/o Sur.
