dataset,target_type,target_item,victim_model,method,attack_size,recall20
diginetica,popular,11103,freqrec,TC-SACP-C,0.005,0.004732327713694173
diginetica,popular,11103,mdhg,TC-SACP-C,0.005,0.805728088336784
diginetica,popular,11103,miasrec,TC-SACP-C,0.005,0.3055473397088304
diginetica,popular,11103,srgnn,TC-SACP-C,0.005,0.17420881396036675
diginetica,popular,11103,tron,TC-SACP-C,0.005,0.16282165039929014
diginetica,popular,11103,wearec,TC-SACP-C,0.005,0.025206217752801605
diginetica,popular,1440,freqrec,TC-SACP-C,0.005,0.003976469814979132
diginetica,popular,1440,mdhg,TC-SACP-C,0.005,0.0005586775773111177
diginetica,popular,1440,miasrec,TC-SACP-C,0.005,0.34192710900785434
diginetica,popular,1440,srgnn,TC-SACP-C,0.005,0.17802096684084262
diginetica,popular,1440,tron,TC-SACP-C,0.005,0.021098294390219857
diginetica,popular,1440,wearec,TC-SACP-C,0.005,0.014837819185645272
diginetica,popular,14514,freqrec,TC-SACP-C,0.005,0.006654835847382431
diginetica,popular,14514,mdhg,TC-SACP-C,0.005,0.0007229945118143876
diginetica,popular,14514,miasrec,TC-SACP-C,0.005,0.43882480528443263
diginetica,popular,14514,srgnn,TC-SACP-C,0.005,0.17047881954714253
diginetica,popular,14514,tron,TC-SACP-C,0.005,0.05639357192152223
diginetica,popular,14514,wearec,TC-SACP-C,0.005,0.017713365539452495
diginetica,popular,32614,freqrec,TC-SACP-C,0.005,0.004107923362581748
diginetica,popular,32614,mdhg,TC-SACP-C,0.005,0.867790594498669
diginetica,popular,32614,miasrec,TC-SACP-C,0.005,0.27247034079332216
diginetica,popular,32614,srgnn,TC-SACP-C,0.005,0.18886588451805844
diginetica,popular,32614,tron,TC-SACP-C,0.005,0.10177790923132538
diginetica,popular,32614,wearec,TC-SACP-C,0.005,0.020391731571855795
diginetica,popular,3316,freqrec,TC-SACP-C,0.005,0.004107923362581748
diginetica,popular,3316,mdhg,TC-SACP-C,0.005,0.00024647540175490486
diginetica,popular,3316,miasrec,TC-SACP-C,0.005,0.32950474875940716
diginetica,popular,3316,srgnn,TC-SACP-C,0.005,0.17751158434388248
diginetica,popular,3316,tron,TC-SACP-C,0.005,0.016497420224128298
diginetica,popular,3316,wearec,TC-SACP-C,0.005,0.01830490650366427
diginetica,popular,39588,freqrec,TC-SACP-C,0.005,0.005586775773111177
diginetica,popular,39588,mdhg,TC-SACP-C,0.005,0.008659502448322325
diginetica,popular,39588,miasrec,TC-SACP-C,0.005,0.31769036116862204
diginetica,popular,39588,srgnn,TC-SACP-C,0.005,0.1768050215255184
diginetica,popular,39588,tron,TC-SACP-C,0.005,0.07972657662098656
diginetica,popular,39588,wearec,TC-SACP-C,0.005,0.01562654047126097
diginetica,popular,4092,freqrec,TC-SACP-C,0.005,0.005373163758256926
diginetica,popular,4092,mdhg,TC-SACP-C,0.005,0.0008215846725163496
diginetica,popular,4092,miasrec,TC-SACP-C,0.005,0.2634822044759933
diginetica,popular,4092,srgnn,TC-SACP-C,0.005,0.177035065233823
diginetica,popular,4092,tron,TC-SACP-C,0.005,0.00759144237405107
diginetica,popular,4092,wearec,TC-SACP-C,0.005,0.022840053895954518
diginetica,popular,5334,freqrec,TC-SACP-C,0.005,0.005685365933813139
diginetica,popular,5334,mdhg,TC-SACP-C,0.005,0.0011666502349732164
diginetica,popular,5334,miasrec,TC-SACP-C,0.005,0.2595057346610142
diginetica,popular,5334,srgnn,TC-SACP-C,0.005,0.1800749285221335
diginetica,popular,5334,tron,TC-SACP-C,0.005,0.0002957704821058858
diginetica,popular,5334,wearec,TC-SACP-C,0.005,0.01715468796214138
diginetica,popular,5418,freqrec,TC-SACP-C,0.005,0.006342633671826218
diginetica,popular,5418,mdhg,TC-SACP-C,0.005,0.9977652896907555
diginetica,popular,5418,miasrec,TC-SACP-C,0.005,0.4989812350060797
diginetica,popular,5418,srgnn,TC-SACP-C,0.005,0.17023234414538763
diginetica,popular,5418,tron,TC-SACP-C,0.005,0.0011830819284235432
diginetica,popular,5418,wearec,TC-SACP-C,0.005,0.02037529987840547
diginetica,popular,9496,freqrec,TC-SACP-C,0.005,0.004633737552992212
diginetica,popular,9496,mdhg,TC-SACP-C,0.005,0.0003122021755562128
diginetica,popular,9496,miasrec,TC-SACP-C,0.005,0.32712215320910976
diginetica,popular,9496,srgnn,TC-SACP-C,0.005,0.18138946399815964
diginetica,popular,9496,tron,TC-SACP-C,0.005,0.00011502185415228893
diginetica,popular,9496,wearec,TC-SACP-C,0.005,0.04075059975681094
diginetica,popular,11103,freqrec,CREAT,0.005,0.006112589963521641
diginetica,popular,11103,mdhg,CREAT,0.005,0.6414768806073153
diginetica,popular,11103,miasrec,CREAT,0.005,0.27598672319169215
diginetica,popular,11103,srgnn,CREAT,0.005,0.1351506786289395
diginetica,popular,11103,tron,CREAT,0.005,0.001593874264681718
diginetica,popular,11103,wearec,CREAT,0.005,0.029544184823687928
diginetica,popular,1440,freqrec,CREAT,0.005,0.0032699069966150712
diginetica,popular,1440,mdhg,CREAT,0.005,1
diginetica,popular,1440,miasrec,CREAT,0.005,0.3361595846067896
diginetica,popular,1440,srgnn,CREAT,0.005,0.11142331328666732
diginetica,popular,1440,tron,CREAT,0.005,0.2609845870715436
diginetica,popular,1440,wearec,CREAT,0.005,0.016694600545532224
diginetica,popular,14514,freqrec,CREAT,0.005,0.005685365933813139
diginetica,popular,14514,mdhg,CREAT,0.005,0.0001478852410529429
diginetica,popular,14514,miasrec,CREAT,0.005,0.261658286503007
diginetica,popular,14514,srgnn,CREAT,0.005,0.12787143843044463
diginetica,popular,14514,tron,CREAT,0.005,0
diginetica,popular,14514,wearec,CREAT,0.005,0.025682736862861086
diginetica,popular,32614,freqrec,CREAT,0.005,0.005208846823753656
diginetica,popular,32614,mdhg,CREAT,0.005,0.7298629596766243
diginetica,popular,32614,miasrec,CREAT,0.005,0.28180354267310787
diginetica,popular,32614,srgnn,CREAT,0.005,0.1430050280981958
diginetica,popular,32614,tron,CREAT,0.005,0.0044694206184889415
diginetica,popular,32614,wearec,CREAT,0.005,0.021821288902034244
diginetica,popular,3316,freqrec,CREAT,0.005,0.0029905682079595123
diginetica,popular,3316,mdhg,CREAT,0.005,0.00009859016070196194
