dataset,target_type,victim_model,method,attack_size,recall20_mean
diginetica,popular,freqrec,DPSBR,0.005,0.0042295178941141
diginetica,popular,freqrec,CREAT,0.005,0.0049722304380689
diginetica,popular,freqrec,Poisoning-SSL,0.005,0.019349962207105
diginetica,popular,freqrec,TC-SACP-G,0.005,0.0039370337506983
diginetica,popular,freqrec,TC-SACP-C,0.005,0.0051201156791218
diginetica,unpopular,freqrec,DPSBR,0.005,0.0036790561635282
diginetica,unpopular,freqrec,CREAT,0.005,0.0048834992934371
diginetica,unpopular,freqrec,Poisoning-SSL,0.005,0.015879588550396
diginetica,unpopular,freqrec,TC-SACP-G,0.005,0.0043412534095763
diginetica,unpopular,freqrec,TC-SACP-C,0.005,0.0045992309967465
yoochoose1_64,popular,freqrec,DPSBR,0.005,0.0306629933092418
yoochoose1_64,popular,freqrec,CREAT,0.005,0.0312891337793838
yoochoose1_64,popular,freqrec,Poisoning-SSL,0.005,0.1593455937600629
yoochoose1_64,popular,freqrec,TC-SACP-G,0.005,0.0320923825539375
yoochoose1_64,popular,freqrec,TC-SACP-C,0.005,0.0323016923682421
yoochoose1_64,unpopular,freqrec,DPSBR,0.005,0.0274911445847794
yoochoose1_64,unpopular,freqrec,CREAT,0.005,0.0278632509213209
yoochoose1_64,unpopular,freqrec,Poisoning-SSL,0.005,0.0504418762746431
yoochoose1_64,unpopular,freqrec,TC-SACP-G,0.005,0.0242709935954774
yoochoose1_64,unpopular,freqrec,TC-SACP-C,0.005,0.0250957100432931
diginetica,popular,mdhg,DPSBR,0.005,0.4014312004995234
diginetica,popular,mdhg,CREAT,0.005,0.2773932761510401
diginetica,popular,mdhg,Poisoning-SSL,0.005,0.4036527654540077
diginetica,popular,mdhg,TC-SACP-G,0.005,0.3014525617010089
diginetica,popular,mdhg,TC-SACP-C,0.005,0.2683772059548457
diginetica,unpopular,mdhg,DPSBR,0.005,0.2015873015873016
diginetica,unpopular,mdhg,CREAT,0.005,0.1434256794505241
diginetica,unpopular,mdhg,Poisoning-SSL,0.005,0.5040947780078214
diginetica,unpopular,mdhg,TC-SACP-G,0.005,0.5008856682769727
diginetica,unpopular,mdhg,TC-SACP-C,0.005,0.2609697985474383
yoochoose1_64,popular,mdhg,DPSBR,0.005,0.4540144548999964
yoochoose1_64,popular,mdhg,CREAT,0.005,0.3699846148341622
yoochoose1_64,popular,mdhg,Poisoning-SSL,0.005,0.4338491538158789
yoochoose1_64,popular,mdhg,TC-SACP-G,0.005,0.33597624244159
yoochoose1_64,popular,mdhg,TC-SACP-C,0.005,0.3380210383197968
yoochoose1_64,unpopular,mdhg,DPSBR,0.005,0.3734373322838026
yoochoose1_64,unpopular,mdhg,CREAT,0.005,0.364411964649898
yoochoose1_64,unpopular,mdhg,Poisoning-SSL,0.005,0.3252102043006905
