dataset,rank,rank_percentile,frequency,range
diginetica,1,0,853,popular
diginetica,2,0.0023292648840026087,800,popular
diginetica,3,0.004658529768005217,769,popular
diginetica,4,0.0069877946520078265,738,popular
diginetica,5,0.009317059536010435,711,popular
diginetica,6,0.011646324420013045,707,popular
diginetica,7,0.013975589304015653,692,popular
diginetica,8,0.01630485418801826,619,popular
diginetica,9,0.01863411907202087,618,popular
diginetica,10,0.020963383956023478,554,popular
diginetica,11,0.02329264884002609,546,popular
diginetica,12,0.025621913724028698,546,popular
diginetica,13,0.027951178608031306,538,popular
diginetica,14,0.030280443492033914,517,popular
diginetica,15,0.03260970837603652,500,popular
diginetica,16,0.034938973260039134,493,popular
diginetica,17,0.03726823814404174,482,popular
diginetica,18,0.03959750302804435,475,popular
diginetica,19,0.041926767912046956,474,popular
diginetica,20,0.04425603279604957,467,popular
diginetica,21,0.04658529768005218,465,popular
diginetica,22,0.048914562564054784,459,popular
diginetica,23,0.051243827448057395,458,popular
diginetica,24,0.05357309233206,451,popular
diginetica,25,0.05590235721606261,450,popular
diginetica,26,0.05823162210006522,447,popular
diginetica,27,0.06056088698406783,442,popular
diginetica,28,0.06289015186807044,437,popular
diginetica,29,0.06521941675207305,427,popular
diginetica,30,0.06754868163607565,424,popular
diginetica,31,0.06987794652007827,423,popular
diginetica,32,0.07220721140408087,420,popular
diginetica,33,0.07453647628808348,420,popular
diginetica,34,0.07686574117208608,419,popular
diginetica,35,0.0791950060560887,417,popular
diginetica,36,0.0815242709400913,413,popular
diginetica,37,0.08385353582409391,410,popular
diginetica,38,0.08618280070809653,410,popular
diginetica,39,0.08851206559209913,409,popular
diginetica,40,0.09084133047610174,406,popular
diginetica,41,0.09317059536010436,404,popular
diginetica,42,0.09549986024410696,404,popular
diginetica,43,0.09782912512810957,401,popular
diginetica,44,0.10015839001211217,396,popular
diginetica,45,0.10248765489611479,383,popular
diginetica,46,0.1048169197801174,382,popular
diginetica,47,0.10714618466412,381,popular
diginetica,48,0.10947544954812262,374,popular
diginetica,49,0.11180471443212522,372,popular
diginetica,50,0.11413397931612783,371,popular
diginetica,51,0.11646324420013043,370,popular
diginetica,52,0.11879250908413305,370,popular
diginetica,53,0.12112177396813566,368,popular
diginetica,54,0.12345103885213826,367,popular
diginetica,55,0.12578030373614088,366,popular
diginetica,56,0.12810956862014347,364,popular
diginetica,57,0.1304388335041461,363,popular
diginetica,58,0.1327680983881487,363,popular
diginetica,59,0.1350973632721513,360,popular
diginetica,60,0.13742662815615392,360,popular
diginetica,61,0.13975589304015654,355,popular
diginetica,62,0.14208515792415913,353,popular
diginetica,63,0.14441442280816175,352,popular
diginetica,64,0.14674368769216437,351,popular
diginetica,65,0.14907295257616696,349,popular
diginetica,66,0.15140221746016957,344,popular
diginetica,67,0.15373148234417217,342,popular
diginetica,68,0.15606074722817478,341,popular
diginetica,69,0.1583900121121774,333,popular
diginetica,70,0.16071927699618,332,popular
diginetica,71,0.1630485418801826,331,popular
diginetica,72,0.16537780676418523,331,popular
diginetica,73,0.16770707164818782,329,popular
diginetica,74,0.17003633653219044,326,popular
diginetica,75,0.17236560141619306,325,popular
diginetica,76,0.17469486630019565,324,popular
diginetica,77,0.17702413118419827,324,popular
diginetica,78,0.1793533960682009,323,popular
diginetica,79,0.18168266095220348,321,popular
diginetica,80,0.1840119258362061,319,popular
diginetica,81,0.18634119072020872,317,popular
diginetica,82,0.1886704556042113,316,popular
diginetica,83,0.19099972048821393,315,popular
diginetica,84,0.19332898537221652,314,popular
diginetica,85,0.19565825025621914,313,popular
diginetica,86,0.19798751514022175,313,popular
diginetica,87,0.20031678002422434,313,popular
diginetica,88,0.20264604490822696,309,popular
diginetica,89,0.20497530979222958,308,popular
diginetica,90,0.20730457467623217,306,popular
diginetica,91,0.2096338395602348,304,popular
diginetica,92,0.2119631044442374,301,popular
diginetica,93,0.21429236932824,300,popular
diginetica,94,0.21662163421224262,297,popular
diginetica,95,0.21895089909624524,297,popular
diginetica,96,0.22128016398024783,294,popular
diginetica,97,0.22360942886425045,293,popular
diginetica,98,0.22593869374825304,293,popular
diginetica,99,0.22826795863225566,292,popular
diginetica,100,0.23059722351625828,291,popular
diginetica,101,0.23292648840026087,290,popular
diginetica,102,0.23525575328426349,287,popular
diginetica,103,0.2375850181682661,287,popular
diginetica,104,0.2399142830522687,286,popular
diginetica,105,0.24224354793627131,285,popular
diginetica,106,0.24457281282027393,283,popular
diginetica,107,0.24690207770427652,281,popular
diginetica,108,0.24923134258827914,279,popular
diginetica,109,0.25156060747228176,277,popular
diginetica,110,0.25388987235628435,277,popular
diginetica,111,0.25621913724028694,276,popular
diginetica,112,0.2585484021242896,276,popular
diginetica,113,0.2608776670082922,275,popular
diginetica,114,0.26320693189229477,273,popular
