dataset,target_type,plot_label,target_item,keep_count,generate_count,stop_count,total_actions,keep_percent,generate_percent,stop_percent
diginetica,popular,T1,1440,1707,3471,1321,6499,26.26557931989537,53.40821664871519,20.326204031389445
diginetica,popular,T2,3316,1444,3491,1564,6499,22.21880289275273,53.71595630096938,24.065240806277888
diginetica,popular,T3,4092,2464,2441,1594,6499,37.91352515771657,37.55962455762425,24.52685028465918
diginetica,popular,T4,5334,2499,2406,1594,6499,38.45206954916141,37.02108016617941,24.52685028465918
diginetica,popular,T5,5418,1598,3344,1557,6499,24.58839821511002,51.454069856901064,23.95753192798892
diginetica,popular,T6,9496,1909,2292,2298,6499,29.37374980766272,35.266964148330516,35.35928604400677
diginetica,popular,T7,11103,3100,2532,867,6499,47.69964609939991,38.95983997538083,13.340513925219264
diginetica,popular,T8,14514,3349,1515,1635,6499,51.53100476996461,23.311278658255116,25.157716571780274
diginetica,popular,T9,32614,2368,2594,1537,6499,36.43637482689645,39.91383289736883,23.64979227573473
diginetica,popular,T10,39588,306,4516,1677,6499,4.708416679489152,69.48761347899676,25.80396984151408
diginetica,unpopular,T1,3660,1929,2477,2093,6499,29.68148945991691,38.113555931681795,32.204954608401295
diginetica,unpopular,T2,8829,2872,2038,1589,6499,44.191414063702105,31.358670564702262,24.44991537159563
diginetica,unpopular,T3,17290,2322,2498,1679,6499,35.7285736267118,38.4366825665487,25.8347438067395
diginetica,unpopular,T4,20222,2297,2532,1670,6499,35.34389906139406,38.95983997538083,25.69626096322511
diginetica,unpopular,T5,21325,3250,1912,1337,6499,50.007693491306355,29.419910755500847,20.572395753192797
diginetica,unpopular,T6,23414,2482,2986,1031,6499,38.19049084474535,45.945530081551006,15.863979073703646
diginetica,unpopular,T7,28865,2771,2469,1259,6499,42.637328819818435,37.99046007078012,19.372211109401448
diginetica,unpopular,T8,29122,2412,2473,1614,6499,37.11340206185567,38.05200800123096,24.83458993691337
diginetica,unpopular,T9,32561,2368,2327,1804,6499,36.43637482689645,35.80550853977535,27.758116633328203
diginetica,unpopular,T10,33995,3058,2591,850,6499,47.0533928296661,39.867671949530695,13.078935220803201
yoochoose1_64,popular,T1,3528,2616,388,263,3267,80.0734618916437,11.876339149066421,8.050198959289869
yoochoose1_64,popular,T2,3660,445,1096,1726,3267,13.62105907560453,33.54759718396082,52.83134374043465
yoochoose1_64,popular,T3,3916,1942,951,374,3267,59.44291398836853,29.10927456382002,11.447811447811448
yoochoose1_64,popular,T4,6200,1211,1366,690,3267,37.06764615855525,41.81205999387817,21.120293847566575
yoochoose1_64,popular,T5,6996,1119,1242,906,3267,34.25160697887971,38.01652892561984,27.73186409550046
yoochoose1_64,popular,T6,7759,1934,850,483,3267,59.19804101622283,26.017753290480563,14.784205693296602
yoochoose1_64,popular,T7,10195,1203,482,1582,3267,36.82277318640955,14.75359657177839,48.42363024181206
yoochoose1_64,popular,T8,33407,1201,1217,849,3267,36.76155494337313,37.25130088766453,25.987144168962352
yoochoose1_64,popular,T9,33497,541,1052,1674,3267,16.559534741352923,32.200795837159475,51.239669421487605
yoochoose1_64,popular,T10,33916,1379,1627,261,3267,42.20997857361494,49.801040710131616,7.988980716253444
yoochoose1_64,unpopular,T1,1440,1148,1206,913,3267,35.13927150290787,36.91460055096419,27.946127946127945
yoochoose1_64,unpopular,T2,4092,1036,1430,801,3267,31.711049892868076,43.77104377104377,24.517906336088153
yoochoose1_64,unpopular,T3,8637,1125,1239,903,3267,34.43526170798898,37.9247015610652,27.640036730945823
yoochoose1_64,unpopular,T4,8829,621,1920,726,3267,19.00826446280992,58.76951331496786,22.22222222222222
yoochoose1_64,unpopular,T5,14514,1173,1190,904,3267,35.90449954086318,36.42485460667279,27.670645852464034
yoochoose1_64,unpopular,T6,16571,1140,1160,967,3267,34.89439853076217,35.50658096112642,29.599020508111415
yoochoose1_64,unpopular,T7,17290,1246,801,1220,3267,38.13896541169269,24.517906336088153,37.34312825221916
yoochoose1_64,unpopular,T8,32070,1305,1121,841,3267,39.94490358126722,34.31282522191613,25.742271196816652
yoochoose1_64,unpopular,T9,33739,1712,798,757,3267,52.402816039179676,24.426078971533517,23.171104989286807
yoochoose1_64,unpopular,T10,35833,1563,990,714,3267,47.842056932966024,30.303030303030305,21.85491276400367
