surrogate_setting,dataset,target_type,victim_model,method,metric,k,mean,std,count
SR-GNN,diginetica,popular,freqrec,CLEAN,mrr,10,0.000148152582097154,0.00021174731348796045,10
SR-GNN,diginetica,popular,freqrec,CLEAN,mrr,20,0.00019411106580335792,0.00029078946602617014,10
SR-GNN,diginetica,popular,freqrec,CLEAN,mrr,30,0.00022462177236110486,0.00033098262086281137,10
SR-GNN,diginetica,popular,freqrec,CLEAN,mrr,40,0.00024300691171219905,0.00034481418324908245,10
SR-GNN,diginetica,popular,freqrec,CLEAN,mrr,50,0.00025418507549690607,0.00035262233259795864,10
SR-GNN,diginetica,popular,freqrec,CLEAN,recall,10,0.0005701797627263126,0.0009196546752668314,10
SR-GNN,diginetica,popular,freqrec,CLEAN,recall,20,0.0012619540569850734,0.0020903198068597225,10
SR-GNN,diginetica,popular,freqrec,CLEAN,recall,30,0.002014525617010046,0.0030861191468354913,10
SR-GNN,diginetica,popular,freqrec,CLEAN,recall,40,0.00266850701633305,0.0036835200041943125,10
SR-GNN,diginetica,popular,freqrec,CLEAN,recall,50,0.0031778895132931902,0.004087682230206112,10
SR-GNN,diginetica,popular,freqrec,CREAT,mrr,10,0.00074755989352257,0.00012039357192940603,10
SR-GNN,diginetica,popular,freqrec,CREAT,mrr,20,0.00145574286428851,0.00021292811974422455,10
SR-GNN,diginetica,popular,freqrec,CREAT,mrr,30,0.0021627264099022903,0.000285612763557885,10
SR-GNN,diginetica,popular,freqrec,CREAT,mrr,40,0.00296655535800273,0.00038927492354783077,10
SR-GNN,diginetica,popular,freqrec,CREAT,mrr,50,0.0038586646036418695,0.0005189145592412984,10
SR-GNN,diginetica,popular,freqrec,CREAT,recall,10,0.00432646488547107,0.0007001456976359338,10
SR-GNN,diginetica,popular,freqrec,CREAT,recall,20,0.015230536659108049,0.0022019620501877537,10
SR-GNN,diginetica,popular,freqrec,CREAT,recall,30,0.03329061093036242,0.0040831353075194005,10
SR-GNN,diginetica,popular,freqrec,CREAT,recall,40,0.06193433895297244,0.007915134587393052,10
SR-GNN,diginetica,popular,freqrec,CREAT,recall,50,0.10258141904104634,0.013916012403996083,10
SR-GNN,diginetica,popular,freqrec,DPSBR,mrr,10,0.0008398323289134301,0.00013470307565860266,10
SR-GNN,diginetica,popular,freqrec,DPSBR,mrr,20,0.00155849302129853,0.00023553758693607235,10
SR-GNN,diginetica,popular,freqrec,DPSBR,mrr,30,0.0023455551268398,0.00031713190444644873,10
SR-GNN,diginetica,popular,freqrec,DPSBR,mrr,40,0.0033400789405951302,0.00044289202016432893,10
SR-GNN,diginetica,popular,freqrec,DPSBR,mrr,50,0.00447898291668998,0.0005722350166835691,10
SR-GNN,diginetica,popular,freqrec,DPSBR,recall,10,0.00475204574583451,0.0007004348640255892,10
SR-GNN,diginetica,popular,freqrec,DPSBR,recall,20,0.01582372079266483,0.0022461857160351673,10
SR-GNN,diginetica,popular,freqrec,DPSBR,recall,30,0.03597719280949089,0.004437120133524316,10
SR-GNN,diginetica,popular,freqrec,DPSBR,recall,40,0.07143514410595153,0.009066219682355606,10
SR-GNN,diginetica,popular,freqrec,DPSBR,recall,50,0.12329028229649344,0.015068841038742177,10
SR-GNN,diginetica,popular,freqrec,Poisoning-SSL,mrr,10,0.00618810794005505,0.005091088894403008,10
SR-GNN,diginetica,popular,freqrec,Poisoning-SSL,mrr,20,0.00730832984846711,0.005410169384586798,10
SR-GNN,diginetica,popular,freqrec,Poisoning-SSL,mrr,30,0.00804234832021306,0.005599883119166128,10
SR-GNN,diginetica,popular,freqrec,Poisoning-SSL,mrr,40,0.00860805050146328,0.005678048717129003,10
SR-GNN,diginetica,popular,freqrec,Poisoning-SSL,mrr,50,0.00906964053315831,0.005707668689211062,10
SR-GNN,diginetica,popular,freqrec,Poisoning-SSL,recall,10,0.02107200368069929,0.014223271910117463,10
SR-GNN,diginetica,popular,freqrec,Poisoning-SSL,recall,20,0.03785533537086328,0.02109002544963413,10
SR-GNN,diginetica,popular,freqrec,Poisoning-SSL,recall,30,0.05636235170396657,0.02732031636824087,10
SR-GNN,diginetica,popular,freqrec,Poisoning-SSL,recall,40,0.07638601334253504,0.03209245985649769,10
SR-GNN,diginetica,popular,freqrec,Poisoning-SSL,recall,50,0.0973429951690821,0.0357516482000103,10
SR-GNN,diginetica,popular,freqrec,TC-SACP-C,mrr,10,0.0008121436213469601,0.00021280366395387348,10
SR-GNN,diginetica,popular,freqrec,TC-SACP-C,mrr,20,0.0016019711045716701,0.0003536168120850191,10
SR-GNN,diginetica,popular,freqrec,TC-SACP-C,mrr,30,0.0024038955519772804,0.0005000488603933411,10
SR-GNN,diginetica,popular,freqrec,TC-SACP-C,mrr,40,0.0033477210911156295,0.0007104131434371721,10
SR-GNN,diginetica,popular,freqrec,TC-SACP-C,mrr,50,0.0044101779469361896,0.0009465238947360741,10
SR-GNN,diginetica,popular,freqrec,TC-SACP-C,recall,10,0.004697821157448439,0.0010515271042224497,10
SR-GNN,diginetica,popular,freqrec,TC-SACP-C,recall,20,0.01692628742318178,0.003390494123504467,10
