dataset,target_type,victim_model,surrogate,method,recall20_mean,recall20_std
diginetica,popular,freqrec,N/A,CLEAN,0.0012619540569850734,0.0020903198068597225
diginetica,popular,mdhg,N/A,CLEAN,0.00153964967629559,0.0022918930370277794
diginetica,popular,miasrec,N/A,CLEAN,0.00078050543889048,0.0005386237931934493
diginetica,popular,srgnn,N/A,CLEAN,0.0013901212658976154,0.002532201621737164
diginetica,popular,tron,N/A,CLEAN,0.00151335896677506,0.0026276150888868434
diginetica,popular,wearec,N/A,CLEAN,0.0016037332807518681,0.002917521092966539
diginetica,unpopular,freqrec,N/A,CLEAN,0.00011995136218735589,0.00012634489501463223
diginetica,unpopular,mdhg,N/A,CLEAN,0.00004272240297085017,0.00002592298917961863
diginetica,unpopular,miasrec,N/A,CLEAN,0.000057510927076131286,0.00004598917596081242
diginetica,unpopular,srgnn,N/A,CLEAN,0.0001084491767721378,0.00008313852338670857
diginetica,unpopular,tron,N/A,CLEAN,0.00024647540175489396,0.000488487958668883
diginetica,unpopular,wearec,N/A,CLEAN,0.00010351966873703777,0.00009890914980670507
diginetica,popular,freqrec,SR-GNN,TC-SACP-C,0.01692628742318178,0.003390494123504467
diginetica,popular,mdhg,SR-GNN,TC-SACP-C,0.42699891550823227,0.45179015894844365
diginetica,popular,miasrec,SR-GNN,TC-SACP-C,0.5921916592724046,0.1058252192531701
diginetica,popular,srgnn,SR-GNN,TC-SACP-C,0.32180485720858387,0.009219890728701627
diginetica,popular,tron,SR-GNN,TC-SACP-C,0.05460909001281668,0.039665254251854035
diginetica,popular,wearec,SR-GNN,TC-SACP-C,0.0450885668276972,0.006729009747097303
diginetica,unpopular,freqrec,SR-GNN,TC-SACP-C,0.014990633934733261,0.0022186106058270302
diginetica,unpopular,mdhg,SR-GNN,TC-SACP-C,0.38788984192710896,0.40976174181458846
diginetica,unpopular,miasrec,SR-GNN,TC-SACP-C,0.6312695126359722,0.09020243960999778
diginetica,unpopular,srgnn,SR-GNN,TC-SACP-C,0.32391961615564097,0.013316518613870223
diginetica,unpopular,tron,SR-GNN,TC-SACP-C,0.19849157054125996,0.03882396652122916
diginetica,unpopular,wearec,SR-GNN,TC-SACP-C,0.045090209997042247,0.007454076744388934
diginetica,popular,freqrec,N/A,CREAT,0.015230536659108049,0.0022019620501877537
diginetica,popular,mdhg,N/A,CREAT,0.09386111932695777,0.2952217467480462
diginetica,popular,miasrec,N/A,CREAT,0.35775082980051925,0.08425060789024795
diginetica,popular,srgnn,N/A,CREAT,0.20413092773341215,0.01632193010421272
diginetica,popular,tron,N/A,CREAT,0.01648427486936798,0.03183196523531291
diginetica,popular,wearec,N/A,CREAT,0.05808603634690586,0.014045427782545892
diginetica,unpopular,freqrec,N/A,CREAT,0.01445496072825261,0.0016771966868728988
diginetica,unpopular,mdhg,N/A,CREAT,0.20016431693450323,0.42155042548802696
diginetica,unpopular,miasrec,N/A,CREAT,0.3195044201255381,0.08105405940600964
diginetica,unpopular,srgnn,N/A,CREAT,0.20409806434651148,0.017768122655176345
diginetica,unpopular,tron,N/A,CREAT,0.0691232048374905,0.03695057377714081
diginetica,unpopular,wearec,N/A,CREAT,0.04947747214827955,0.012232459753092843
diginetica,popular,freqrec,SR-GNN,TC-SACP-G,0.014864109895165761,0.004130538310211483
diginetica,popular,mdhg,SR-GNN,TC-SACP-G,0.5002924841434158,0.5251750586781292
diginetica,popular,miasrec,SR-GNN,TC-SACP-G,0.5475270301357258,0.07900788213503694
diginetica,popular,srgnn,SR-GNN,TC-SACP-G,0.2903217325577574,0.01293211554437338
diginetica,popular,tron,SR-GNN,TC-SACP-G,0.3104341253409576,0.08297004125558191
diginetica,popular,wearec,SR-GNN,TC-SACP-G,0.04587564494396787,0.014478420968363253
diginetica,unpopular,freqrec,SR-GNN,TC-SACP-G,0.013891353642906371,0.003813869637359425
diginetica,unpopular,mdhg,SR-GNN,TC-SACP-G,0.7005603207466561,0.48199267948304714
diginetica,unpopular,miasrec,SR-GNN,TC-SACP-G,0.6154112852870617,0.10195378650861073
diginetica,unpopular,srgnn,SR-GNN,TC-SACP-G,0.28807059055506257,0.009423305830189039
diginetica,unpopular,tron,SR-GNN,TC-SACP-G,0.4426106674553879,0.033975192153385216
diginetica,unpopular,wearec,SR-GNN,TC-SACP-G,0.0530316474415853,0.01436704604979957
diginetica,popular,freqrec,N/A,DPSBR,0.01582372079266483,0.0022461857160351673
diginetica,popular,mdhg,N/A,DPSBR,0.10186335403726703,0.3155158579286442
diginetica,popular,miasrec,N/A,DPSBR,0.45448420914259424,0.0953136581707581
diginetica,popular,srgnn,N/A,DPSBR,0.2565546025173354,0.013517975588032641
diginetica,popular,tron,N/A,DPSBR,0.34958592132505173,0.04908924497875637
diginetica,popular,wearec,N/A,DPSBR,0.04615005422458835,0.007953841888482397
diginetica,unpopular,freqrec,N/A,DPSBR,0.0144352426961122,0.0031272471774197587
diginetica,unpopular,mdhg,N/A,DPSBR,0.30064412238325283,0.48144234218115844
diginetica,unpopular,miasrec,N/A,DPSBR,0.5214137829044662,0.07431339563110112
diginetica,unpopular,srgnn,N/A,DPSBR,0.24754181865983105,0.017781819667307366
diginetica,unpopular,tron,N/A,DPSBR,0.47583226527325906,0.03304421206267873
diginetica,unpopular,wearec,N/A,DPSBR,0.042814420454171956,0.006451811895787867
yoochoose1_64,popular,freqrec,N/A,CLEAN,0.00289813589037169,0.0027157316389938213
yoochoose1_64,popular,mdhg,N/A,CLEAN,0.00276932985079961,0.0029807242797776413
yoochoose1_64,popular,miasrec,N/A,CLEAN,0.0036799169916633305,0.003426940664291439
yoochoose1_64,popular,srgnn,N/A,CLEAN,0.00446706501127048,0.00647402225049196
yoochoose1_64,popular,tron,N/A,CLEAN,0.00682107452091133,0.013525412578825877
yoochoose1_64,popular,wearec,N/A,CLEAN,0.00302157501162827,0.0031271104181246527
yoochoose1_64,unpopular,freqrec,N/A,CLEAN,0.00022362159647927325,0.00031500938249565217
yoochoose1_64,unpopular,mdhg,N/A,CLEAN,0.0001860531682707453,0.00022075276446715508
yoochoose1_64,unpopular,miasrec,N/A,CLEAN,0.00017531933163974204,0.0002800566261082068
yoochoose1_64,unpopular,srgnn,N/A,CLEAN,0.00006440301978602647,0.00008525560127688707
yoochoose1_64,unpopular,tron,N/A,CLEAN,0.0001900220497283778,0.00022536566464233438
yoochoose1_64,unpopular,wearec,N/A,CLEAN,0.00030770331675549205,0.000599049196490439
yoochoose1_64,popular,freqrec,SR-GNN,TC-SACP-C,0.11354789080110197,0.017837703185862683
yoochoose1_64,popular,mdhg,SR-GNN,TC-SACP-C,0.24532899209274034,0.240496853200401
yoochoose1_64,popular,miasrec,SR-GNN,TC-SACP-C,0.38146445311102367,0.0729595856274863
yoochoose1_64,popular,srgnn,SR-GNN,TC-SACP-C,0.43958638949515183,0.021634686789484627
yoochoose1_64,popular,tron,SR-GNN,TC-SACP-C,0.39090941684742664,0.1796309903027835
yoochoose1_64,popular,wearec,SR-GNN,TC-SACP-C,0.19841318115138282,0.041542971604883475
yoochoose1_64,unpopular,freqrec,SR-GNN,TC-SACP-C,0.12200794303910692,0.02778806543011944
yoochoose1_64,unpopular,mdhg,SR-GNN,TC-SACP-C,0.3170775340799313,0.3103206076865234
yoochoose1_64,unpopular,miasrec,SR-GNN,TC-SACP-C,0.39360442234069193,0.058470551034148326
yoochoose1_64,unpopular,srgnn,SR-GNN,TC-SACP-C,0.44739704461698093,0.013876282750061761
yoochoose1_64,unpopular,tron,SR-GNN,TC-SACP-C,0.28532527831059634,0.10198742478656378
yoochoose1_64,unpopular,wearec,SR-GNN,TC-SACP-C,0.2000805037747325,0.035327203721108334
yoochoose1_64,popular,freqrec,N/A,CREAT,0.11190024687824247,0.015603240974950423
yoochoose1_64,popular,mdhg,N/A,CREAT,0.32602776485741886,0.36273699738597104
yoochoose1_64,popular,miasrec,N/A,CREAT,0.27230670149200326,0.02013464672206147
yoochoose1_64,popular,srgnn,N/A,CREAT,0.2619825396257468,0.005840240676689999
yoochoose1_64,popular,tron,N/A,CREAT,0.4960507681551727,0.12610926376316398
yoochoose1_64,popular,wearec,N/A,CREAT,0.16309170274428417,0.03385491287194831
yoochoose1_64,unpopular,freqrec,N/A,CREAT,0.10757987763426238,0.01825107502555401
yoochoose1_64,unpopular,mdhg,N/A,CREAT,0.3915864610540627,0.41795780771369806
yoochoose1_64,unpopular,miasrec,N/A,CREAT,0.28407993130344555,0.05102688531589828
yoochoose1_64,unpopular,srgnn,N/A,CREAT,0.27913699953486704,0.05428020370120148
yoochoose1_64,unpopular,tron,N/A,CREAT,0.4636824839108689,0.10904838074938333
yoochoose1_64,unpopular,wearec,N/A,CREAT,0.16869297649289774,0.030469134327005046
yoochoose1_64,popular,freqrec,SR-GNN,TC-SACP-G,0.1281423306737271,0.031741709435826077
yoochoose1_64,popular,mdhg,SR-GNN,TC-SACP-G,0.43593509606783776,0.38865892060481155
yoochoose1_64,popular,miasrec,SR-GNN,TC-SACP-G,0.3938298329099431,0.03517303067505219
yoochoose1_64,popular,srgnn,SR-GNN,TC-SACP-G,0.412250885541522,0.011022230834351767
yoochoose1_64,popular,tron,SR-GNN,TC-SACP-G,0.6440456769983687,0.15312175172965156
yoochoose1_64,popular,wearec,SR-GNN,TC-SACP-G,0.21856238148055382,0.03970530463237973
yoochoose1_64,unpopular,freqrec,SR-GNN,TC-SACP-G,0.12178074349708394,0.028135068923857413
yoochoose1_64,unpopular,mdhg,SR-GNN,TC-SACP-G,0.5100468710866221,0.4209897244335701
yoochoose1_64,unpopular,miasrec,SR-GNN,TC-SACP-G,0.3791656230992164,0.09493302085732411
yoochoose1_64,unpopular,srgnn,SR-GNN,TC-SACP-G,0.4022451608286522,0.01723187889157805
yoochoose1_64,unpopular,tron,SR-GNN,TC-SACP-G,0.551167918541491,0.15056394109115243
yoochoose1_64,unpopular,wearec,SR-GNN,TC-SACP-G,0.23537693656302547,0.05688603266868225
yoochoose1_64,popular,freqrec,N/A,DPSBR,0.11503810512004002,0.03332983527884182
yoochoose1_64,popular,mdhg,N/A,DPSBR,0.3680077999212852,0.3327271760088657
yoochoose1_64,popular,miasrec,N/A,DPSBR,0.3690972843393323,0.08066669695962764
yoochoose1_64,popular,srgnn,N/A,DPSBR,0.3700937421732441,0.017656512257588373
yoochoose1_64,popular,tron,N/A,DPSBR,0.5565727909936719,0.11534603893820647
yoochoose1_64,popular,wearec,N/A,DPSBR,0.21161937815306447,0.036229859206659845
yoochoose1_64,unpopular,freqrec,N/A,DPSBR,0.13135532577194173,0.022439034836487768
yoochoose1_64,unpopular,mdhg,N/A,DPSBR,0.3641883430534187,0.3285622269367348
yoochoose1_64,unpopular,miasrec,N/A,DPSBR,0.3246395219864754,0.08454580045384719
yoochoose1_64,unpopular,srgnn,N/A,DPSBR,0.36507567354824855,0.018735984332374916
yoochoose1_64,unpopular,tron,N/A,DPSBR,0.4184733700231253,0.06020952960737707
yoochoose1_64,unpopular,wearec,N/A,DPSBR,0.22668431786468207,0.030228647480312332
diginetica,popular,freqrec,N/A,Poisoning-SSL,0.03785533537086328,0.02109002544963413
diginetica,popular,mdhg,N/A,Poisoning-SSL,0.6028344671201814,0.511929180812313
diginetica,popular,miasrec,N/A,Poisoning-SSL,0.221308620066384,0.09799143227668683
diginetica,popular,srgnn,N/A,Poisoning-SSL,0.11525518419928356,0.030601975988699955
diginetica,popular,tron,N/A,Poisoning-SSL,0.2749876762299122,0.14199089707088774
diginetica,popular,wearec,N/A,Poisoning-SSL,0.05621610963225866,0.026254807774047647
diginetica,unpopular,freqrec,N/A,Poisoning-SSL,0.030438068947385676,0.0036626765226524683
diginetica,unpopular,mdhg,N/A,Poisoning-SSL,0.6022527851720398,0.5132009825840759
diginetica,unpopular,miasrec,N/A,Poisoning-SSL,0.19333694830589238,0.040125255196480684
diginetica,unpopular,srgnn,N/A,Poisoning-SSL,0.09567024877583881,0.011777626474794491
diginetica,unpopular,tron,N/A,Poisoning-SSL,0.3553386572020112,0.05547581160345463
diginetica,unpopular,wearec,N/A,Poisoning-SSL,0.04535311709224748,0.011472814604647458
yoochoose1_64,popular,freqrec,N/A,Poisoning-SSL,0.266043507817811,0.12640598632717182
yoochoose1_64,popular,mdhg,N/A,Poisoning-SSL,0.4555028802461626,0.3878726679458171
