surrogate_setting,method,metric,k,mean_rank
SR-GNN,TC-SACP-C,mrr,10,3.6666666666666665
SR-GNN,TC-SACP-C,mrr,20,3.5416666666666665
SR-GNN,TC-SACP-C,mrr,30,3.25
SR-GNN,TC-SACP-C,mrr,40,3.2083333333333335
SR-GNN,TC-SACP-C,mrr,50,3.1666666666666665
SR-GNN,TC-SACP-C,recall,10,3.4166666666666665
SR-GNN,TC-SACP-C,recall,20,2.8333333333333335
SR-GNN,TC-SACP-C,recall,30,2.7916666666666665
SR-GNN,TC-SACP-C,recall,40,2.625
SR-GNN,TC-SACP-C,recall,50,2.4166666666666665
SR-GNN,CREAT,mrr,10,3
SR-GNN,CREAT,mrr,20,3.2916666666666665
SR-GNN,CREAT,mrr,30,3.5
SR-GNN,CREAT,mrr,40,3.5416666666666665
SR-GNN,CREAT,mrr,50,3.5833333333333335
SR-GNN,CREAT,recall,10,3.2083333333333335
SR-GNN,CREAT,recall,20,3.9583333333333335
SR-GNN,CREAT,recall,30,4.083333333333333
SR-GNN,CREAT,recall,40,4.083333333333333
SR-GNN,CREAT,recall,50,4.166666666666667
SR-GNN,TC-SACP-G,mrr,10,2.4583333333333335
SR-GNN,TC-SACP-G,mrr,20,2.4166666666666665
SR-GNN,TC-SACP-G,mrr,30,2.4166666666666665
SR-GNN,TC-SACP-G,mrr,40,2.2916666666666665
SR-GNN,TC-SACP-G,mrr,50,2.2916666666666665
SR-GNN,TC-SACP-G,recall,10,2.4583333333333335
SR-GNN,TC-SACP-G,recall,20,2.125
SR-GNN,TC-SACP-G,recall,30,1.9583333333333333
SR-GNN,TC-SACP-G,recall,40,2.125
SR-GNN,TC-SACP-G,recall,50,2.0416666666666665
SR-GNN,Poisoning-SSL,mrr,10,2.4166666666666665
SR-GNN,Poisoning-SSL,mrr,20,2.5833333333333335
SR-GNN,Poisoning-SSL,mrr,30,2.75
SR-GNN,Poisoning-SSL,mrr,40,2.875
SR-GNN,Poisoning-SSL,mrr,50,3
SR-GNN,Poisoning-SSL,recall,10,2.5833333333333335
SR-GNN,Poisoning-SSL,recall,20,3.125
SR-GNN,Poisoning-SSL,recall,30,3.4166666666666665
SR-GNN,Poisoning-SSL,recall,40,3.5
SR-GNN,Poisoning-SSL,recall,50,3.75
SR-GNN,DPSBR,mrr,10,3.4583333333333335
SR-GNN,DPSBR,mrr,20,3.1666666666666665
SR-GNN,DPSBR,mrr,30,3.0833333333333335
SR-GNN,DPSBR,mrr,40,3.0833333333333335
SR-GNN,DPSBR,mrr,50,2.9583333333333335
SR-GNN,DPSBR,recall,10,3.3333333333333335
SR-GNN,DPSBR,recall,20,2.9583333333333335
SR-GNN,DPSBR,recall,30,2.75
SR-GNN,DPSBR,recall,40,2.6666666666666665
SR-GNN,DPSBR,recall,50,2.625
MDHG,TC-SACP-C,mrr,10,4.041666666666667
MDHG,TC-SACP-C,mrr,20,3.5
MDHG,TC-SACP-C,mrr,30,3.4583333333333335
MDHG,TC-SACP-C,mrr,40,3.375
MDHG,TC-SACP-C,mrr,50,3.2916666666666665
MDHG,TC-SACP-C,recall,10,3.7916666666666665
MDHG,TC-SACP-C,recall,20,2.6666666666666665
MDHG,TC-SACP-C,recall,30,2.5416666666666665
MDHG,TC-SACP-C,recall,40,2.4166666666666665
MDHG,TC-SACP-C,recall,50,2.25
MDHG,CREAT,mrr,10,2.875
MDHG,CREAT,mrr,20,3.375
MDHG,CREAT,mrr,30,3.4166666666666665
MDHG,CREAT,mrr,40,3.375
MDHG,CREAT,mrr,50,3.4166666666666665
MDHG,CREAT,recall,10,3.0833333333333335
MDHG,CREAT,recall,20,3.875
MDHG,CREAT,recall,30,3.9583333333333335
MDHG,CREAT,recall,40,3.9583333333333335
MDHG,CREAT,recall,50,4.083333333333333
MDHG,TC-SACP-G,mrr,10,2
MDHG,TC-SACP-G,mrr,20,1.9583333333333333
MDHG,TC-SACP-G,mrr,30,2.0416666666666665
MDHG,TC-SACP-G,mrr,40,2.0416666666666665
MDHG,TC-SACP-G,mrr,50,2.0416666666666665
MDHG,TC-SACP-G,recall,10,1.875
MDHG,TC-SACP-G,recall,20,2
MDHG,TC-SACP-G,recall,30,2.1666666666666665
MDHG,TC-SACP-G,recall,40,2.375
MDHG,TC-SACP-G,recall,50,2.4166666666666665
MDHG,Poisoning-SSL,mrr,10,2.7083333333333335
MDHG,Poisoning-SSL,mrr,20,2.9166666666666665
MDHG,Poisoning-SSL,mrr,30,2.9583333333333335
MDHG,Poisoning-SSL,mrr,40,3.0416666666666665
MDHG,Poisoning-SSL,mrr,50,3.1666666666666665
MDHG,Poisoning-SSL,recall,10,2.9166666666666665
MDHG,Poisoning-SSL,recall,20,3.5
MDHG,Poisoning-SSL,recall,30,3.6666666666666665
MDHG,Poisoning-SSL,recall,40,3.7083333333333335
