surrogate_setting,dataset,target_type,target_item,victim_model,method,metric,k,attack_size,value
SR-GNN,diginetica,popular,1440,freqrec,CLEAN,mrr,10,0.01,0.00004672599812104889
SR-GNN,diginetica,popular,1440,freqrec,CLEAN,mrr,20,0.01,0.0000676794411603362
SR-GNN,diginetica,popular,1440,freqrec,CLEAN,mrr,30,0.01,0.00007572917470446543
SR-GNN,diginetica,popular,1440,freqrec,CLEAN,mrr,40,0.01,0.00007892225289546802
SR-GNN,diginetica,popular,1440,freqrec,CLEAN,mrr,50,0.01,0.00008262503020821752
SR-GNN,diginetica,popular,1440,freqrec,CLEAN,recall,10,0.01,0.0003286338690065
SR-GNN,diginetica,popular,1440,freqrec,CLEAN,recall,20,0.01,0.000657267738013
SR-GNN,diginetica,popular,1440,freqrec,CLEAN,recall,30,0.01,0.000854448059417
SR-GNN,diginetica,popular,1440,freqrec,CLEAN,recall,40,0.01,0.0009694699135692
SR-GNN,diginetica,popular,1440,freqrec,CLEAN,recall,50,0.01,0.0011337868480725
SR-GNN,diginetica,popular,1440,freqrec,CREAT,mrr,10,0.01,0.0006557093353406
SR-GNN,diginetica,popular,1440,freqrec,CREAT,mrr,20,0.01,0.0013386508115807
SR-GNN,diginetica,popular,1440,freqrec,CREAT,mrr,30,0.01,0.0020210037694224
SR-GNN,diginetica,popular,1440,freqrec,CREAT,mrr,40,0.01,0.0027524577721374
SR-GNN,diginetica,popular,1440,freqrec,CREAT,mrr,50,0.01,0.0036503342239148
SR-GNN,diginetica,popular,1440,freqrec,CREAT,recall,10,0.01,0.0039929015084294
SR-GNN,diginetica,popular,1440,freqrec,CREAT,recall,20,0.01,0.0145091853166387
SR-GNN,diginetica,popular,1440,freqrec,CREAT,recall,30,0.01,0.031762463439482
SR-GNN,diginetica,popular,1440,freqrec,CREAT,recall,40,0.01,0.057691675704098
SR-GNN,diginetica,popular,1440,freqrec,CREAT,recall,50,0.01,0.0986887508626639
SR-GNN,diginetica,popular,1440,freqrec,DPSBR,mrr,10,0.01,0.0008137535360743
SR-GNN,diginetica,popular,1440,freqrec,DPSBR,mrr,20,0.01,0.0015082104987918
SR-GNN,diginetica,popular,1440,freqrec,DPSBR,mrr,30,0.01,0.002352718859114
SR-GNN,diginetica,popular,1440,freqrec,DPSBR,mrr,40,0.01,0.0034218356606642
SR-GNN,diginetica,popular,1440,freqrec,DPSBR,mrr,50,0.01,0.0046477494922972
SR-GNN,diginetica,popular,1440,freqrec,DPSBR,recall,10,0.01,0.0049459397285484
SR-GNN,diginetica,popular,1440,freqrec,DPSBR,recall,20,0.01,0.0156594038581616
SR-GNN,diginetica,popular,1440,freqrec,DPSBR,recall,30,0.01,0.0373163758256925
SR-GNN,diginetica,popular,1440,freqrec,DPSBR,recall,40,0.01,0.0751421341483453
SR-GNN,diginetica,popular,1440,freqrec,DPSBR,recall,50,0.01,0.1309770284925564
SR-GNN,diginetica,popular,1440,freqrec,Poisoning-SSL,mrr,10,0.01,0.0034651572460899
SR-GNN,diginetica,popular,1440,freqrec,Poisoning-SSL,mrr,20,0.01,0.0044427215564072
SR-GNN,diginetica,popular,1440,freqrec,Poisoning-SSL,mrr,30,0.01,0.0051537868329049
SR-GNN,diginetica,popular,1440,freqrec,Poisoning-SSL,mrr,40,0.01,0.0057645618839834
SR-GNN,diginetica,popular,1440,freqrec,Poisoning-SSL,mrr,50,0.01,0.0062409348485718
SR-GNN,diginetica,popular,1440,freqrec,Poisoning-SSL,recall,10,0.01,0.0145091853166387
SR-GNN,diginetica,popular,1440,freqrec,Poisoning-SSL,recall,20,0.01,0.029199119261231
SR-GNN,diginetica,popular,1440,freqrec,Poisoning-SSL,recall,30,0.01,0.0470768017351868
SR-GNN,diginetica,popular,1440,freqrec,Poisoning-SSL,recall,40,0.01,0.0686187518485655
SR-GNN,diginetica,popular,1440,freqrec,Poisoning-SSL,recall,50,0.01,0.0903414505898978
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-C,mrr,10,0.01,0.0006845430450379
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-C,mrr,20,0.01,0.0014627992445988
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-C,mrr,30,0.01,0.0022766686520601
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-C,mrr,40,0.01,0.0031321933773847
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-C,mrr,50,0.01,0.004052355067233
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-C,recall,10,0.01,0.0041572184429327
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-C,recall,20,0.01,0.0161523546616714
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-C,recall,30,0.01,0.0371191955042886
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-C,recall,40,0.01,0.0675178283873936
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-C,recall,50,0.01,0.109451510072628
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-G,mrr,10,0.01,0.0008661262986906
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-G,mrr,20,0.01,0.0017742046387448
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-G,mrr,30,0.01,0.0028995318676238
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-G,mrr,40,0.01,0.0039817209819999
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-G,mrr,50,0.01,0.0051466063277011
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-G,recall,10,0.01,0.0050116665023497
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-G,recall,20,0.01,0.0192579447237832
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-G,recall,30,0.01,0.0478655230208025
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-G,recall,40,0.01,0.0862170955338657
SR-GNN,diginetica,popular,1440,freqrec,TC-SACP-G,recall,50,0.01,0.1392586019915212
SR-GNN,diginetica,popular,1440,mdhg,CLEAN,mrr,10,0.01,0.00005130339843935429
SR-GNN,diginetica,popular,1440,mdhg,CLEAN,mrr,20,0.01,0.00007399567979330013
SR-GNN,diginetica,popular,1440,mdhg,CLEAN,mrr,30,0.01,0.00007733490422738972
SR-GNN,diginetica,popular,1440,mdhg,CLEAN,mrr,40,0.01,0.000078829609853748
SR-GNN,diginetica,popular,1440,mdhg,CLEAN,mrr,50,0.01,0.00007988800861376738
